dc,dinve,dw,dy,labobs,pinfobs,robs
0.109078745,1.551379725,0.315583974,0.841241747,-1.083738167,2.094171184,2.395833333
0.176087142,0.689026637,1.028267998,-0.253478971,-1.048302526,1.746723297,2.518333333
-0.223523185,-1.061045006,-0.355484968,-0.325574798,-1.835568895,2.438893658,2.545
0.823953212,1.638064656,0.11099429,0.260984202,-1.321230309,2.131709289,2.736666667
0.162148155,-1.410598807,0.410876243,-0.223439343,-1.334565402,1.979675842,3.394166667
0.270271441,-1.640266383,0.823043453,-0.106994466,-2.022446596,2.086958196,3.761666667
-2.455066276,-9.386336906,0.454810187,-2.429084824,-4.1145089,2.186852857,3.171666667
0.725263247,0.447779719,0.329093454,-0.581364139,-4.682472538,2.244578011,2.459166667
0.69167018,2.958609412,-0.045846224,1.491658896,-4.128152153,2.731773129,3.963333333
0.087455199,0.481814242,0.069486719,1.660109778,-3.634748855,2.546181145,4.1425
-0.525979798,0.684579277,-0.155474947,-1.112880083,-3.799750689,1.862001003,4.445
-0.066706069,-0.430387424,0.411548981,0.864404597,-4.850610081,1.764269072,4.394166667
-1.395896081,-0.591312594,-0.328734842,-1.593210725,-5.395006583,1.807808642,3.396666667
0.259209385,-3.365881621,1.225658011,-1.948926379,-6.954360367,1.350974065,3.556666667
-0.210999331,-3.893346094,-0.414474617,0.230702569,-6.525558118,1.206244391,3.628333333
0.626937882,-3.981451148,0.162384921,-0.669146054,-7.019153346,1.402592245,2.751666667
1.535235627,-1.394659559,0.162512234,-0.21451823,-7.749134197,1.072071349,2.321666667
0.751643603,0.604436006,0.249185618,0.960855169,-7.693315591,0.81871164,2.163333333
1.899656515,2.385749205,0.036272502,1.969899274,-6.950372937,0.719588995,2.200833333
1.768842453,4.355139982,-0.41804566,1.671867518,-4.891313319,1.018648066,2.365
1.198465767,4.785153983,0.289762461,1.738961934,-4.220846089,0.752689273,2.3575
0.268183758,1.517904442,0.082495101,1.521872175,-3.201507332,1.242027574,2.421666667
1.275736047,3.355555198,0.01377879,1.452048407,-2.039195113,0.859589207,2.639166667
0.47772182,1.355837133,0.64251592,0.70069361,-2.292093471,0.796357825,2.8475
1.000274549,1.123087827,0.078025517,0.514695395,-2.143069196,0.63372126,2.316666667
1.396184492,-0.268256022,0.148829978,0.700584499,-1.731647303,1.119685974,2.119166667
0.856154666,0.588734069,0.267269338,0.61147871,-1.707679252,0.569555629,1.980833333
1.84278817,-1.068423797,0.966096626,1.289574167,-1.796150643,0.413235587,1.975
0.071018174,1.589075981,0.986766895,0.469374989,-1.509703936,0.643704007,2.025833333
0.544178039,-0.406613186,0.82359778,0.458668531,-1.543192729,0.515110298,1.956666667
0.326252498,-0.270817564,0.414074841,0.121088068,-1.978339295,0.512470504,1.73
1.605278939,-0.56433617,0.340956596,0.667996503,-1.764285982,0.577082639,1.551666667
0.400089734,0.399036825,1.03119223,0.210244767,-1.484048259,0.651695383,1.566666667
-0.009234052,-2.854735809,-0.694545908,0.306036045,-0.597099427,0.822833289,1.555
1.381032387,1.063417898,0.349986923,0.805451618,-0.230139525,0.543445951,1.6625
1.122968502,1.28016825,0.26910841,0.635879762,0.131989468,0.742278214,1.710833333
0.119619758,-0.165882686,0.526727534,1.484970224,0.666162471,0.723288742,1.729166667
1.393031924,-0.360525848,0.75511944,0.215328369,0.298843173,0.846886478,1.665833333
0.632957497,1.361832625,0.14284529,1.034501456,0.8297658,0.951390552,1.789166667
0.662890954,-0.509296492,0.09126257,0.287225645,0.918128347,1.110674976,1.995833333
1.169743752,0.991736088,-0.151532153,1.088355755,1.708478157,0.747126528,2.1175
0.147636797,0.089448068,-0.887903181,0.729802797,2.388525035,1.125151216,2.360833333
0.594718841,-0.433412547,-0.599620737,0.435507733,2.584567515,0.954440743,2.431666667
0.648556419,1.216107461,-0.000211045,0.483145825,2.701462585,0.706096329,2.270833333
0.371275472,-2.057685574,0.707181201,0.030717298,2.324025178,0.689814743,2.153333333
0.290621072,-0.183085723,0.64381166,0.348174214,2.359149141,1.18900024,2.0625
0.038631142,-3.385681661,0.975901119,0.044837842,1.553218116,1.15781262,2.060833333
0.543259065,-1.572822723,0.661989228,-0.223814218,0.585872362,0.881591585,2.04
-0.449797987,-3.292285628,0.124545046,-1.029589442,0.018852992,0.746920164,1.935833333
-1.072199927,-4.154158886,-0.422453502,-0.723666538,-0.98465208,1.178805028,1.606666667
0.578987771,-1.006024814,1.170914889,0.444640988,-1.431875664,0.642468135,1.465833333
0.186237785,-0.664427243,0.449265111,0.238358105,-1.534130355,0.706817129,1.410833333
-0.094296526,-0.948322467,0.517057927,0.19106927,-1.794845789,0.522452473,1.204166667
1.5804544,0.019460126,1.343187661,0.809697596,-1.778466413,0.602598254,1.005833333
0.443792178,3.128034298,0.262452682,0.735008527,-1.42356889,0.545632523,0.9425
0.963756809,0.940311071,0.947156162,0.707295463,-1.400048556,0.451468035,0.814166667
0.96183429,2.507440013,-0.121215321,0.789754758,-1.438226644,0.517255443,0.759166667
-0.152850243,0.105435072,-0.5785983,-0.131793818,-1.201984728,0.776031731,0.76
0.746927848,1.734061071,-0.155485119,0.274167589,-0.481535474,0.549186415,0.75
0.735887917,1.312335557,-0.037804827,0.248790458,-0.290398854,0.429962192,0.765
0.60315453,3.677771377,-0.136379011,1.053611216,-0.038747538,0.527004508,0.7475
0.655235583,0.988726764,0.558152878,0.774516205,0.018750264,0.604650922,0.803333333
0.619042543,2.057680346,-0.611731535,1.073377883,1.083002135,0.418867444,0.985
0.692356232,0.478613457,-0.734857605,0.290319052,1.342674964,0.638285893,1.121666667
0.695674209,2.185131925,0.112975558,0.886988357,2.036320036,0.465060734,1.291666667
-0.136296754,1.897453917,0.132064721,0.135120406,2.115184369,0.633489257,1.4525
0.810579301,-0.612951072,0.21154322,-0.030296392,1.532473552,0.358800531,1.505
0.56676403,0.729755735,0.10009276,0.553798382,1.815843405,0.46701651,1.449166667
0.345964235,1.305829438,0.458149336,0.455169317,1.475064263,0.479943847,1.43
0.644676223,1.320635083,0.382261523,0.49059778,0.821486303,0.639577373,1.340833333
1.113759072,2.29193665,0.565934013,1.374034482,1.255667667,0.354035677,1.310833333
0.438904498,1.993071813,0.41864595,0.550585561,1.8115307,0.311284298,1.326666667
0.664410645,0.76650439,-0.076206902,0.859941188,2.395015855,0.529722419,1.32
0.427418927,0.676124457,-0.005969636,0.305518305,2.739270078,0.637455722,1.319166667
0.277934657,1.632628184,0.557067562,1.291772942,3.077734527,0.159781386,1.380833333
1.294399793,3.192486048,0.633427178,0.975696267,3.485174582,0.343924005,1.383333333
0.755759479,0.090134152,1.426840093,0.455419839,3.432818377,0.326053168,1.376666667
0.697280372,1.968769206,1.554845284,0.875217173,3.520199823,0.253210858,1.38
